trdar_nm,year,quarter,sum(is_risky),count(*),average(is_risky)
서원동상점가,2022,4,9,54,0.16666666666666666
서원동상점가,2023,1,12,54,0.2222222222222222
서원동상점가,2023,2,5,18,0.2777777777777778
서촌(경복궁역),2022,1,3,45,0.06666666666666667
서촌(경복궁역),2022,2,3,47,0.06382978723404255
서촌(경복궁역),2022,3,5,49,0.10204081632653061
서촌(경복궁역),2022,4,7,50,0.14
서촌(경복궁역),2023,1,4,50,0.08
서촌(경복궁역),2023,2,1,16,0.0625
석촌역(석촌호수),2022,1,5,24,0.20833333333333334
석촌역(석촌호수),2022,2,7,23,0.30434782608695654
석촌역(석촌호수),2022,3,8,23,0.34782608695652173
석촌역(석촌호수),2022,4,7,23,0.30434782608695654
석촌역(석촌호수),2023,1,5,24,0.20833333333333334
석촌역(석촌호수),2023,2,2,7,0.2857142857142857
선릉역,2022,1,25,119,0.21008403361344538
선릉역,2022,2,29,128,0.2265625
선릉역,2022,3,26,146,0.1780821917808219
선릉역,2022,4,27,160,0.16875
선릉역,2023,1,31,160,0.19375
선릉역,2023,2,14,53,0.2641509433962264
선유도역 골목형상점가,2022,1,5,21,0.23809523809523808
선유도역 골목형상점가,2022,2,0,20,0.0
선유도역 골목형상점가,2022,3,1,15,0.06666666666666667
선유도역 골목형상점가,2022,4,2,15,0.13333333333333333
선유도역 골목형상점가,2023,1,1,15,0.06666666666666667
선유도역 골목형상점가,2023,2,0,5,0.0
성수동카페거리,2022,1,4,15,0.26666666666666666
성수동카페거리,2022,2,6,17,0.35294117647058826
성수동카페거리,2022,3,3,21,0.14285714285714285
성수동카페거리,2022,4,8,21,0.38095238095238093
성수동카페거리,2023,1,5,21,0.23809523809523808
성수동카페거리,2023,2,3,7,0.42857142857142855
성수역,2022,1,2,27,0.07407407407407407
성수역,2022,2,1,24,0.041666666666666664
성수역,2022,3,4,23,0.17391304347826086
성수역,2022,4,1,22,0.045454545454545456
성수역,2023,1,0,24,0.0
성수역,2023,2,1,8,0.125
성신여대,2022,1,26,155,0.16774193548387098
성신여대,2022,2,32,161,0.19875776397515527
성신여대,2022,3,35,160,0.21875
성신여대,2022,4,33,170,0.19411764705882353
성신여대,2023,1,30,167,0.17964071856287425
성신여대,2023,2,8,55,0.14545454545454545
송파나루역 1번(송리단길),2022,3,0,17,0.0
송파나루역 1번(송리단길),2022,4,1,21,0.047619047619047616
송파나루역 1번(송리단길),2023,1,1,21,0.047619047619047616
송파나루역 1번(송리단길),2023,2,1,7,0.14285714285714285
수서역,2022,1,1,24,0.041666666666666664
수서역,2022,2,2,24,0.08333333333333333
수서역,2022,3,2,28,0.07142857142857142
수서역,2022,4,0,31,0.0
수서역,2023,1,1,33,0.030303030303030304
수서역,2023,2,0,11,0.0
수유역,2022,1,19,138,0.13768115942028986
